Rate,Years
1.0,0.7113526128868595
2.0,0.8878737950279046
4.0,1.0136405377980722
8.0,1.0909036022323693
12.0,1.119343607305936
15.0,1.1311396499238966
30.0,1.1554927701674276
45.0,1.1638456050228312
60.0,1.1680688736681888
120.0,1.1744634703196348
180.0,1.176609589041096
240.0,1.1776864535768645
300.0,1.1783390410958905
600.0,1.1796423135464231
900.0,1.1800799086757991
1800.0,1.1805936073059362
2700.0,1.180736301369863
3600.0,1.180821917808219
7200.0,1.1810502283105022
14400.0,1.1817351598173516
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
