Rate,Years
1.0,0.468337867833587
2.0,0.6706884830035515
4.0,0.8555034246575343
8.0,0.9922102993404364
12.0,1.0480346270928462
15.0,1.0721637176560121
30.0,1.1239164764079148
45.0,1.1422959474885845
60.0,1.1517142313546422
120.0,1.1661377473363774
180.0,1.171027397260274
240.0,1.1734855403348554
300.0,1.1749714611872146
600.0,1.17794901065449
900.0,1.178966894977169
1800.0,1.1800228310502283
2700.0,1.1803938356164383
3600.0,1.1805936073059362
7200.0,1.1810502283105022
14400.0,1.1812785388127856
21600.0,1.1821917808219178
32400.0,1.1825342465753426
43200.0,1.1835616438356165
86400.0,1.1863013698630136
